userid,user,pageid,revid,parentid,ns,title,timestamp,comment,texthidden,suppressed,date
10075168,TedderBot,39250531,552961005,552867287,0,2013 Prague explosion,2013-04-30T23:20:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-30
10075168,TedderBot,17300668,551782599,551707190,0,Eden Foods Inc.,2013-04-23T11:42:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-23
10075168,TedderBot,14479563,551570638,551469598,0,Huang Wenyong,2013-04-22T03:42:15Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-22
10075168,TedderBot,39171754,551504799,551421696,0,Sita Chan,2013-04-21T19:42:18Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-21
10075168,TedderBot,13491108,551495742,551415369,0,Antares (rocket),2013-04-21T18:42:11Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-21
10075168,TedderBot,24260,551487327,551412122,0,Pervez Musharraf,2013-04-21T17:42:25Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-21
10075168,TedderBot,2763150,551434102,551354524,0,Carlos Arredondo,2013-04-21T09:42:22Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-21
10075168,TedderBot,21921430,551397110,551289350,0,Leadership Conference of Women Religious,2013-04-21T02:42:17Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-21
10075168,TedderBot,38969724,551292715,551224691,0,Influenza A virus subtype H7N9,2013-04-20T14:42:19Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-20
10075168,TedderBot,39026633,551155646,551085382,0,2013 Korean crisis,2013-04-19T16:42:45Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-19
10075168,TedderBot,6773219,551086006,550998448,0,Urban Search and Rescue Texas Task Force 1,2013-04-19T04:42:12Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-19
10075168,TedderBot,5823210,551007348,550929150,0,West Independent School District,2013-04-18T17:42:07Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-18
10075168,TedderBot,39026633,550940784,550857731,0,2013 Korean crisis,2013-04-18T07:42:25Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-18
10075168,TedderBot,2438757,550906258,550801157,0,Vincent Montana Jr.,2013-04-18T01:42:20Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-18
10075168,TedderBot,1185823,550781566,550703795,0,John F. Kennedy Presidential Library and Museum,2013-04-17T09:42:14Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-17
10075168,TedderBot,969138,550776092,550695215,0,Chi Cheng (musician),2013-04-17T08:42:23Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-17
10075168,TedderBot,4662677,550761671,550668912,0,Dariush Safvat,2013-04-17T05:42:20Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-17
10075168,TedderBot,906640,550666166,550589973,0,Dave McArtney,2013-04-16T16:42:21Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-16
10075168,TedderBot,451733,550617383,550542703,0,Justin Trudeau,2013-04-16T09:42:18Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-16
10075168,TedderBot,6947925,550612542,550532747,0,Henrique Capriles,2013-04-16T08:42:18Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-16
10075168,TedderBot,1103482,550591969,550496752,0,P. B. Sreenivas,2013-04-16T04:42:27Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-16
10075168,TedderBot,34629668,550454216,550376376,0,2013 Pakistani general election,2013-04-15T10:42:18Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-15
10075168,TedderBot,3977248,550415940,550314548,0,Iran University of Medical Sciences,2013-04-15T03:42:24Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-15
10075168,TedderBot,39106645,550409013,550308512,0,2013 Hong Kong dock strike,2013-04-15T02:42:16Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-15
10075168,TedderBot,287264,550307316,550236764,0,DEFCON,2013-04-14T13:42:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-14
10075168,TedderBot,39096866,550283871,550214760,0,Edward A. Frieman,2013-04-14T09:42:16Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-14
10075168,TedderBot,12305333,549977893,549903245,0,Noboru Yamaguchi (author),2013-04-12T09:42:11Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-12
10075168,TedderBot,7268958,549925420,549825499,0,Raymond Boudon,2013-04-11T23:42:14Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-11
10075168,TedderBot,39075043,549918810,549819311,0,2013 Batanes earthquake,2013-04-11T22:42:09Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-11
10075168,TedderBot,15841881,549869532,549789798,0,Lone Star College–CyFair,2013-04-11T16:42:10Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-11
10075168,TedderBot,30076555,549823381,549749389,0,Korean Armistice Agreement,2013-04-11T10:42:15Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-11
10075168,TedderBot,39074983,549817680,549743737,0,2013 San Juan Pueblo earthquake,2013-04-11T09:42:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-11
10075168,TedderBot,22149090,549756193,549655759,0,2013 Malaysian general election,2013-04-10T22:42:14Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-10
10075168,TedderBot,2091271,549733565,549640572,0,"Cypress, Texas",2013-04-10T19:42:12Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-10
10075168,TedderBot,2244185,549518259,549377134,0,Lilly Pulitzer,2013-04-09T14:42:50Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-09
10075168,TedderBot,6237758,549502940,549420883,0,Carl Williams (boxer),2013-04-09T12:42:18Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-09
10075168,TedderBot,2244185,549324554,549251136,0,Lilly Pulitzer,2013-04-08T13:42:34Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-08
10075168,TedderBot,39010653,549316887,549243843,0,Offshore Leaks,2013-04-08T12:42:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-08
10075168,TedderBot,38969724,549169558,549095809,0,Influenza A virus subtype H7N9,2013-04-07T15:42:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-07
10075168,TedderBot,5882788,549154883,549083500,0,North Korea–South Korea relations,2013-04-07T13:42:13Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-07
10075168,TedderBot,2420165,549097162,548997433,0,Bigas Luna,2013-04-07T03:42:15Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-07
10075168,TedderBot,507777,548997552,548927484,0,Nyongbyon Nuclear Scientific Research Center,2013-04-06T14:42:46Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-06
10075168,TedderBot,39010653,548943358,548852204,0,Offshore Leaks,2013-04-06T04:43:09Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-06
10075168,TedderBot,34135727,548859635,548777117,0,Grozny-City Towers Facade Clocks,2013-04-05T16:42:14Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-05
10075168,TedderBot,307465,548859627,548679321,0,Andean Community,2013-04-05T16:42:11Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-05
10075168,TedderBot,1875331,548827300,548753527,0,Carmine Infantino,2013-04-05T12:42:58Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-05
10075168,TedderBot,33949821,548821197,548742630,0,Gun laws in Connecticut,2013-04-05T11:42:50Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-05
10075168,TedderBot,8651,548782233,548687423,0,Dark matter,2013-04-05T04:42:38Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-05
10075168,TedderBot,307465,548679321,548596704,0,Andean Community,2013-04-04T15:42:30Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-04
10075168,TedderBot,38935439,548669966,548593888,0,Occupy Central with Love and Peace,2013-04-04T14:42:26Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-04
10075168,TedderBot,38985234,548317463,548247470,0,2013 Bulgarian self-immolations,2013-04-02T13:42:52Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-02
10075168,TedderBot,1171065,547820036,547729614,0,Art Phillips,2013-03-30T14:43:05Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-30
10075168,TedderBot,14938695,547792809,547693630,0,Vuhlehirska Power Station,2013-03-30T10:42:22Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-30
10075168,TedderBot,3517666,547729147,547612918,0,Speed limits in the United States,2013-03-30T01:42:35Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-30
10075168,TedderBot,6233322,547451607,547371180,0,Sukumari,2013-03-28T14:43:40Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-28
10075168,TedderBot,355478,547398472,547310121,0,Boris Berezovsky (businessman),2013-03-28T06:43:57Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-28
10075168,TedderBot,773078,547185706,547074727,0,Anthony Lewis,2013-03-27T03:43:10Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-27
10075168,TedderBot,38910855,547072511,547004591,0,Jessica Upshaw,2013-03-26T14:43:25Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-26
10075168,TedderBot,38885648,546856938,546754138,0,Muhammad Said Ramadan al-Bouti,2013-03-25T04:43:05Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-25
10075168,TedderBot,21493599,546506494,546383915,0,Zillur Rahman,2013-03-23T09:42:33Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-23
10075168,TedderBot,675018,546506475,546390031,0,Pietro Mennea,2013-03-23T09:42:25Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-23
10075168,TedderBot,11570708,546499014,546366996,0,Herschel Schacter,2013-03-23T08:42:18Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-23
10075168,TedderBot,38875081,546339632,546194640,0,March 2013 Australian Labor Party leadership spill,2013-03-22T17:42:11Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-22
10075168,TedderBot,8006107,546275917,546126108,0,Homaidan Al-Turki,2013-03-22T12:42:11Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-22
10075168,TedderBot,26584018,546198285,546028566,0,Craig Lowe,2013-03-22T05:42:16Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-22
10075168,TedderBot,22471942,545417273,545294917,0,Kitchen Cabinet of Israel,2013-03-19T11:42:10Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-19
10075168,TedderBot,38553645,545387940,545266817,0,Transatlantic Trade and Investment Partnership,2013-03-19T08:42:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-19
10075168,TedderBot,38847742,545291392,545193161,0,Bank deposit levy,2013-03-18T22:42:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-18
10075168,TedderBot,38806045,544571245,544431359,0,Thirty-third government of Israel,2013-03-16T06:42:09Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-16
10075168,TedderBot,26951750,544517886,544365738,0,Naomi Gonzalez,2013-03-16T01:42:12Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-16
10075168,TedderBot,1088686,544349196,544222573,0,Clive Burr,2013-03-15T11:42:16Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-15
10075168,TedderBot,38185681,544247631,544093455,0,March 2013 Srinagar attack,2013-03-15T01:42:16Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-15
10075168,TedderBot,35895517,544188112,544038575,0,JManga,2013-03-14T20:42:15Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-14
10075168,TedderBot,649975,544108315,543981217,0,Anquan Boldin,2013-03-14T14:42:28Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-14
10075168,TedderBot,988842,543999984,543851902,0,Dave Lee Travis,2013-03-14T03:42:16Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-14
10075168,TedderBot,20815983,543897146,543778148,0,Dannell Ellerbe,2013-03-13T18:42:24Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-13
10075168,TedderBot,7167,543897121,543775157,0,Chief Minister of the Northern Territory,2013-03-13T18:42:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-13
10075168,TedderBot,15066284,543830384,543726201,0,Martellus Bennett,2013-03-13T12:42:34Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-13
10075168,TedderBot,11148740,543789607,543675696,0,Ganesh Pyne,2013-03-13T07:42:53Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-13
10075168,TedderBot,38792732,543766661,543647799,0,Prenda Law,2013-03-13T04:42:10Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-13
10075168,TedderBot,33049400,543588637,543485851,0,Aasia,2013-03-12T08:42:14Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-12
10075168,TedderBot,38151849,543450190,543337403,0,Samsung Galaxy S4,2013-03-11T16:42:11Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-11
10075168,TedderBot,38554050,543335730,543231671,0,2013 Lahad Datu standoff,2013-03-11T03:42:25Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-11
10075168,TedderBot,15121714,543285516,543182952,0,Hakob Hakobian (painter),2013-03-10T21:42:11Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-10
10075168,TedderBot,22884772,543259376,543162532,0,2013 Western Australian state election,2013-03-10T18:42:14Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-10
10075168,TedderBot,33049400,543164065,543057211,0,Aasia,2013-03-10T06:42:14Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-10
10075168,TedderBot,38734245,543004726,542909172,0,Chorão,2013-03-09T10:42:13Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-09
10075168,TedderBot,367594,542772298,542659156,0,Duane Gish,2013-03-08T08:42:21Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-08
10075168,TedderBot,766221,542614764,542512480,0,Paul Bearer,2013-03-07T16:42:27Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-07
10075168,TedderBot,1863914,542575574,542472536,0,Orbest Orizonia Airlines,2013-03-07T12:42:10Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-07
10075168,TedderBot,3956818,542546123,542425999,0,Keith O'Brien,2013-03-07T08:42:18Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-07
10075168,TedderBot,2071275,542435600,542343202,0,United States–Venezuela relations,2013-03-06T20:42:18Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-06
10075168,TedderBot,33214037,542424351,542339525,0,Rajasulochana,2013-03-06T19:42:29Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-06
10075168,TedderBot,6345602,542412952,542329775,0,One Night Stand (festival),2013-03-06T18:42:15Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-06
10075168,TedderBot,30829104,542365017,542287035,0,Hikmat al-Shihabi,2013-03-06T12:42:40Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-06
10075168,TedderBot,36119060,542364985,542286557,0,"Kenyan presidential election, 2013",2013-03-06T12:42:20Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-06
10075168,TedderBot,31094039,542359701,542283845,0,2013 Kenyan general election,2013-03-06T11:42:20Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-06
10075168,TedderBot,12681732,542212803,542139628,0,Menachem Froman,2013-03-05T14:42:25Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-05
10075168,TedderBot,30863037,542032899,541958726,0,Müslüm Gürses,2013-03-04T11:42:17Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-04
10075168,TedderBot,24587131,541720719,541621211,0,Five Star Movement,2013-03-02T13:42:15Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-02
10075168,TedderBot,38260457,541688623,541587241,0,Abdelhamid Abou Zeid,2013-03-02T09:42:29Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-02
10075168,TedderBot,59953,541688601,541585912,0,Van Allen radiation belt,2013-03-02T09:42:21Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-03-02
