userid,user,pageid,revid,parentid,ns,title,timestamp,comment,texthidden,date
1670386,Yellowdesk,13625,942158548,942145414,0,Holden,2020-02-22T23:48:21Z,Removed {{current related}} for failing to indicate in template the related event and topic.   [[Template:Current_related#Guidelines]],NA,2020-02-22
1670386,Yellowdesk,62436088,942158223,942158072,0,UFC Fight Night: Felder vs. Hooker,2020-02-22T23:45:25Z,{{Current}} --> {{current sport}},NA,2020-02-22
1670386,Yellowdesk,747093,941029050,940715387,0,United States District Court for the Southern District of New York,2020-02-16T04:53:58Z,Removed {{current related}}.,NA,2020-02-16
1670386,Yellowdesk,63100659,941028799,940988585,0,List of departures from the second Johnson ministry,2020-02-16T04:51:36Z,Removed {{current related}} for failing to indicate the related event.  [[Template:Current related#Guidelines]].,NA,2020-02-16
1670386,Yellowdesk,32702473,941028686,941028319,0,Annegret Kramp-Karrenbauer,2020-02-16T04:50:42Z,Removed {{current person}}.,NA,2020-02-16
1670386,Yellowdesk,17781,941028510,940965941,0,Lesotho,2020-02-16T04:49:20Z,Convert {{current related}} to {{seealso}}.,NA,2020-02-16
1670386,Yellowdesk,59729347,935522503,935497873,0,2020 Masters (snooker),2020-01-13T02:39:51Z,change {{current}} to {{current sport}},NA,2020-01-13
1670386,Yellowdesk,60705831,932403368,932400358,0,2019–20 Bangladesh Premier League,2019-12-25T17:28:54Z,Removed {{current}}.  The temporal nature of the topic is clearly stated int the lead paragraph.,NA,2019-12-25
1670386,Yellowdesk,59408574,932202922,931572573,0,2019 Women's World Floorball Championships,2019-12-24T04:18:35Z,Removed {{current sport}}.  Superfluous. The temporal quality of the topic is clearly stated in the lede paragraph of the article,NA,2019-12-24
1670386,Yellowdesk,25187824,932202696,931884733,0,Maguindanao massacre,2019-12-24T04:15:55Z,Removed {{current related}} for failing to indicate the related event.  [[Template:Current related#Guidelines]].,NA,2019-12-24
1670386,Yellowdesk,28887,931249078,931126441,0,Scottish National Party,2019-12-17T21:46:49Z,Removed {{current related}} for failing to indicate the related event.  [[Template:Current related#Guidelines]].,NA,2019-12-17
1670386,Yellowdesk,197197,931248999,931107126,0,Bagram Airfield,2019-12-17T21:46:15Z,/* 21st century */ converted {{current related}} to {{seealso}},NA,2019-12-17
1670386,Yellowdesk,18933007,931248851,931201791,0,Liberal Democrats (UK),2019-12-17T21:45:15Z,Removed {{current related}} for failing to indicate the related event.  [[Template:Current related#Guidelines]].,NA,2019-12-17
1670386,Yellowdesk,43858632,931248727,930646045,0,Ovation of the Seas,2019-12-17T21:44:26Z,/* White Island eruption */  convert {{current related}} to {{seealso}},NA,2019-12-17
1670386,Yellowdesk,62571158,930775716,930750251,0,List of MPs who lost their seat in the 2019 United Kingdom general election,2019-12-14T21:20:43Z,Removed {{current}}. Event concluded.,NA,2019-12-14
1670386,Yellowdesk,60004953,930738208,930626291,0,Change UK,2019-12-14T16:04:52Z,Removed {{current related}}. Zero edits in the last 12 hours.,NA,2019-12-14
1670386,Yellowdesk,59736430,929688553,929687762,0,2019 UK Championship,2019-12-07T15:11:16Z,Temporal nature of the topic clearly stated in the first sentence of the lede. Removed redundant  {{current sport}}.,NA,2019-12-07
1670386,Yellowdesk,719178,928290934,928161240,0,Order of the White Eagle (Poland),2019-11-28T02:35:20Z,change {{current related}} to {{seealso}},NA,2019-11-28
1670386,Yellowdesk,36655489,928120886,928058696,0,2019 SEA Games,2019-11-26T23:20:15Z,change {{current to {{current sport}},NA,2019-11-26
1670386,Yellowdesk,59066111,927529999,927268557,0,2019 AFC Champions League final,2019-11-23T01:38:05Z,Removed redundant {{current sport}}.  The temporal nature of the topic is clearly stated in the lede.,NA,2019-11-23
1670386,Yellowdesk,188806,927529100,927515031,0,President of Bolivia,2019-11-23T01:29:06Z,Removed {{current related}} for failing to indicate the related event.  [[Template:Current related#Guidelines]].,NA,2019-11-23
1670386,Yellowdesk,42137037,926535631,926516073,0,Maharashtra Legislative Assembly,2019-11-17T01:49:06Z,Removed {{current election}}.,NA,2019-11-17
1670386,Yellowdesk,59362300,926534858,925911518,0,2019 Houston mayoral election,2019-11-17T01:42:11Z,Removed {{current election}}. Next runoff election in December.,NA,2019-11-17
1670386,Yellowdesk,60487813,926534765,924969346,0,2019 Orlando mayoral election,2019-11-17T01:41:11Z,Removed {{current election}},NA,2019-11-17
1670386,Yellowdesk,61100542,926534691,926213194,0,2019 New Jersey General Assembly election,2019-11-17T01:40:32Z,Removed {{current election}},NA,2019-11-17
1670386,Yellowdesk,59081630,926534554,925851288,0,2019 Philadelphia mayoral election,2019-11-17T01:39:29Z,Removed {{current election}},NA,2019-11-17
1670386,Yellowdesk,53278032,926534400,925538231,0,2019 Virginia elections,2019-11-17T01:38:00Z,Removed {{current election}}.,NA,2019-11-17
1670386,Yellowdesk,60744248,926533686,926530060,0,UFC Fight Night: Błachowicz vs. Jacaré,2019-11-17T01:31:47Z,Channge {{current}} to {{current sport}}.,NA,2019-11-17
1670386,Yellowdesk,2086606,926272073,926240226,0,Deval Patrick,2019-11-15T07:44:50Z,"The lede paragraph fully states the recent candidacy for president.  Removed ""current person"" template: superfluous.",NA,2019-11-15
1670386,Yellowdesk,62304182,925553407,925553378,0,Oleg Sokolov,2019-11-10T21:26:38Z,"/* Arrest for murder */  Removed superfluous  ""{{current}} template. This duplicates the warning of the ""under construction"" template at the top of the article.",NA,2019-11-10
1670386,Yellowdesk,59405059,925302895,925235895,0,Irish backstop,2019-11-09T05:27:34Z,Convert {{current related}} to {{seealso}}.,NA,2019-11-09
1670386,Yellowdesk,977418,925302706,922881279,0,Santiago Metro,2019-11-09T05:25:07Z,Removed {{current related}}. Event concluded.,NA,2019-11-09
1670386,Yellowdesk,774548,925302500,925033623,0,Shuri Castle,2019-11-09T05:22:28Z,Removed {{current related}} for failing to indicate the related event.  [[Template:Current related#Guidelines]].,NA,2019-11-09
1670386,Yellowdesk,61857263,925302328,925207998,0,Andrew Atherton,2019-11-09T05:20:23Z,/* Resignation and suspension from office */  Removed superfluous {{current person}},NA,2019-11-09
1670386,Yellowdesk,60744212,924322457,924320487,0,UFC 244,2019-11-03T03:54:09Z,Changed {{current}} to {{current sport}}.,NA,2019-11-03
1670386,Yellowdesk,62150038,923042016,923010049,0,Kincade Fire,2019-10-25T23:42:56Z,change to template {{current wildfire}},NA,2019-10-25
1670386,Yellowdesk,62162374,923041955,923040108,0,Tick Fire,2019-10-25T23:42:12Z,change to template {{current wildfire}},NA,2019-10-25
1670386,Yellowdesk,43982103,922081716,922060815,0,Turkish involvement in the Syrian civil war,2019-10-19T20:56:43Z,convert current related to seealso template,NA,2019-10-19
1670386,Yellowdesk,41798889,919519149,919511975,0,2019 World Athletics Championships,2019-10-04T04:47:33Z,{{current}}  --> {{current sport}},NA,2019-10-04
1670386,Yellowdesk,61818456,917153810,917147841,0,Hurricane Lorena (2019),2019-09-22T14:05:44Z,Removed {{current disaster}}. Downgraded  -- THE GOVERNMENT OF MEXICO HAS DISCONTINUED THE TROPICAL STORM WARNING FOR WESTERN MAINLAND MEXICO.,NA,2019-09-22
1670386,Yellowdesk,55709370,912798452,912791602,0,2019 Parapan American Games,2019-08-27T23:03:38Z,Removed superfluous and redundant {{current sport}}.  The temporal nature of the topic is clearly stated in the article's lede paragraph.,NA,2019-08-27
1670386,Yellowdesk,46684488,912798411,912795135,0,2019 African Games,2019-08-27T23:03:09Z,Removed superfluous and redundant {{current sport}}.  The temporal nature of the topic is clearly stated in the article's first sentence.,NA,2019-08-27
1670386,Yellowdesk,451156,912797585,912797484,0,Bury F.C.,2019-08-27T22:55:16Z,Removed {{current related}} for failing to indicate in template the related event and topic.   [[Template:Current_related#Guidelines]],NA,2019-08-27
1670386,Yellowdesk,298601,912797511,912796010,0,Bolton Wanderers F.C.,2019-08-27T22:54:34Z,Removed {{current related}} for failing to indicate in template the related event and topic.   [[Template:Current_related#Guidelines]],NA,2019-08-27
1670386,Yellowdesk,61231592,911379551,911080971,0,2019 Women's International Champions Cup,2019-08-18T14:04:54Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is stated in the article lede.,NA,2019-08-18
1670386,Yellowdesk,57562729,911379447,911308704,0,2019 World Seniors Championship,2019-08-18T14:04:03Z,Removed  superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-18
1670386,Yellowdesk,444585,911379313,911208343,0,Arun Jaitley,2019-08-18T14:03:05Z,Removed {{current person}}. Event concluded.,NA,2019-08-18
1670386,Yellowdesk,61314255,910743045,910742200,0,2019 Akita Masters,2019-08-14T04:15:55Z,Removed  superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-14
1670386,Yellowdesk,61491356,910742989,910639338,0,2019 IFSC Climbing World Championships,2019-08-14T04:15:09Z,Removed  superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-14
1670386,Yellowdesk,60890832,910142759,908268092,0,2019 Lebanese Challenge Cup,2019-08-09T23:25:44Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-09
1670386,Yellowdesk,61294129,910142644,910085323,0,2019 Hyderabad Open (badminton),2019-08-09T23:24:30Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-09
1670386,Yellowdesk,60890661,910142588,908267800,0,2019 Lebanese Elite Cup,2019-08-09T23:24:04Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-09
1670386,Yellowdesk,60417301,910142555,910126447,0,2019–20 Eredivisie,2019-08-09T23:23:43Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-09
1670386,Yellowdesk,58499939,910142521,909738729,0,2019 IPSC Rifle World Shoot,2019-08-09T23:23:23Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-09
1670386,Yellowdesk,57855350,910142445,910023719,0,2019 BWF World Tour,2019-08-09T23:22:31Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-09
1670386,Yellowdesk,55804148,910142371,910092361,0,2019 WAFF Championship,2019-08-09T23:21:50Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-09
1670386,Yellowdesk,26540245,910142318,909932045,0,2019 Pan American Games,2019-08-09T23:21:12Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is clearly stated in the article lede.,NA,2019-08-09
1670386,Yellowdesk,57360008,910142219,906312961,0,2019 Albanian local elections,2019-08-09T23:20:07Z,Removed {{current election}}. Event concluded.,NA,2019-08-09
1670386,Yellowdesk,58379686,910142138,905878776,0,2019 Uruguayan presidential primaries,2019-08-09T23:19:24Z,Removed {{current election}}. Event concluded.,NA,2019-08-09
1670386,Yellowdesk,61295590,910142079,910093579,0,Von der Leyen Commission I,2019-08-09T23:18:46Z,Removed {{current election}}. Event concluded.,NA,2019-08-09
1670386,Yellowdesk,61380707,908189936,908184111,0,2019 Northern British Columbia murders,2019-07-28T02:08:49Z,Removed {{current related}} for failing to indicate in template the related event and topic.   [[Template:Current_related#Guidelines]],NA,2019-07-28
1670386,Yellowdesk,11669307,908189792,908151802,0,Karnataka Legislative Assembly,2019-07-28T02:07:40Z,Converted {{current related}} to {{seealso}}.,NA,2019-07-28
1670386,Yellowdesk,57253320,906303326,906301868,0,2019 Cricket World Cup final,2019-07-15T00:33:10Z,Removed {{current sport}}.  Event concluded.,NA,2019-07-15
1670386,Yellowdesk,41041530,906303214,906284061,0,2019 Summer Universiade,2019-07-15T00:32:16Z,Removed {{current sport}}.  Event concluded.,NA,2019-07-15
1670386,Yellowdesk,60923277,906237827,903302815,0,2019 Arkansas River floods,2019-07-14T15:16:49Z,Zero edits for two weeks. Removed {{current disaster}}.,NA,2019-07-14
1670386,Yellowdesk,61256096,906237634,906161474,0,Football at the 2019 Pacific Games – Women's tournament,2019-07-14T15:15:03Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is stated in the article lede.,NA,2019-07-14
1670386,Yellowdesk,60999086,906237602,906059103,0,Football at the 2019 Pacific Games – Men's tournament,2019-07-14T15:14:44Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is stated in the article lede.,NA,2019-07-14
1670386,Yellowdesk,60795113,906237547,905975141,0,2019 Ukrainian Athletics Championships,2019-07-14T15:14:14Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is stated in the article lede.,NA,2019-07-14
1670386,Yellowdesk,47539846,906237482,906227792,0,2019 Netball World Cup,2019-07-14T15:13:34Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is stated in the article lede.,NA,2019-07-14
1670386,Yellowdesk,38541516,906237424,906221377,0,2019 Africa Cup of Nations,2019-07-14T15:13:09Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is stated in the article lede.,NA,2019-07-14
1670386,Yellowdesk,58554613,906237274,905808848,0,2019 Africa Cup of Nations Group F,2019-07-14T15:11:57Z,Removed {{current sport}}.  Event concluded.,NA,2019-07-14
1670386,Yellowdesk,59188992,906237164,906229778,0,2019 Africa Cup of Nations knockout stage,2019-07-14T15:11:10Z,Removed superfluous {{current sport}}.  The temporal nature of the topic is stated in the article lede.,NA,2019-07-14
1670386,Yellowdesk,60062172,906237018,904577742,0,2019 Scottish Women's Premier League Cup,2019-07-14T15:09:56Z,Removed  superfluous {{current sport}}.  The temporal nature of the topic is stated in the article lede.,NA,2019-07-14
1670386,Yellowdesk,61146275,906235021,906012123,0,Tiffany Cabán,2019-07-14T14:51:51Z,Removed {{current person}}.,NA,2019-07-14
1670386,Yellowdesk,37441435,906233832,906163149,0,Melinda Katz,2019-07-14T14:41:36Z,Removed {{current person}}.,NA,2019-07-14
1670386,Yellowdesk,2991932,906232479,906183806,0,Ursula von der Leyen,2019-07-14T14:31:18Z,Temporal quality and related event is clearly stated in the article lede.  Removed superfluous {{current person}}.,NA,2019-07-14
1670386,Yellowdesk,57253320,906231805,906231494,0,2019 Cricket World Cup final,2019-07-14T14:25:38Z,{{current}} --> {{current sport}},NA,2019-07-14
1670386,Yellowdesk,61178256,906020750,904158555,0,2019 British baseball season,2019-07-13T02:26:26Z,Removed  superfluous {{current sport}}.  The temporal nature of the topic is stated in the article lede.,NA,2019-07-13
1670386,Yellowdesk,59537099,906020649,905449904,0,2019 Allsvenskan,2019-07-13T02:25:26Z,Removed  superfluous {{current sport}}.  The temporal nature of the topic is stated in the lede paragraph.,NA,2019-07-13
1670386,Yellowdesk,37387195,906020507,905788988,0,2019 Pacific Games,2019-07-13T02:24:14Z,Removed  superfluous {{current sport}}.  The temporal nature of the topic is stated in the info box at the top of the article.,NA,2019-07-13
1670386,Yellowdesk,4971952,906020310,906017846,0,2019 Cricket World Cup,2019-07-13T02:22:22Z,Removed  superfluous {{current sport}}.  The temporal nature of the topic is stated in the first several sentences of the lede.,NA,2019-07-13
1670386,Yellowdesk,61215517,906019351,905562383,0,2019 Reyhanlı car bombing,2019-07-13T02:11:13Z,Removed {{current disaster}}.  Not a natural disaster.,NA,2019-07-13
1670386,Yellowdesk,60493264,906019240,905865589,0,Zefiro (rocket stage),2019-07-13T02:09:50Z,Removed {{current related}} for failing to indicate in template the related event and topic.   [[Template:Current_related#Guidelines]],NA,2019-07-13
1670386,Yellowdesk,11669307,906019157,905859184,0,Karnataka Legislative Assembly,2019-07-13T02:08:38Z,Removed {{current related}} for failing to indicate in template the related event and topic.   [[Template:Current_related#Guidelines]],NA,2019-07-13
1670386,Yellowdesk,647757,906018962,905996340,0,United States women's national soccer team,2019-07-13T02:05:51Z,Converted {{current related}} to {{seealso}}.,NA,2019-07-13
1670386,Yellowdesk,53507164,903128165,902992506,0,Patrick M. Shanahan,2019-06-23T19:19:27Z,Removed {{current person}}. Status change clearly stated in the lede.,NA,2019-06-23
1670386,Yellowdesk,54603873,903127982,903068327,0,Mark Esper,2019-06-23T19:17:49Z,Removed {{current person}}. Status change clearly stated in the lede.,NA,2019-06-23
1670386,Yellowdesk,6037017,903127691,902840458,0,"Jack Evans (Washington, D.C., politician)",2019-06-23T19:15:07Z,Removed {{current related}} for failing to link to the related article.,NA,2019-06-23
1670386,Yellowdesk,60913057,900034183,899964073,0,2019 Alberta wildfires,2019-06-03T00:27:04Z,{{current}} --> {{current wildfire}},NA,2019-06-03
1670386,Yellowdesk,56797546,900033627,899744301,0,"List of members of the European Parliament for Ireland, 2019–2024",2019-06-03T00:22:46Z,Removed {{current}}.  The article clearly states the temporal quality of the subject.,NA,2019-06-03
1670386,Yellowdesk,2855251,900032986,899447367,0,Dublin (European Parliament constituency),2019-06-03T00:17:10Z,Removed {{current}}. Zero edits in the last two days.  Event concluded.,NA,2019-06-03
1670386,Yellowdesk,60799584,898906802,898126245,0,Johann Gudenus,2019-05-26T17:51:13Z,Removed {{current person}}. circumstances of events are described in the article.,NA,2019-05-26
1670386,Yellowdesk,60483849,898906665,898378263,0,Ola Bini,2019-05-26T17:50:15Z,Removed {{current person}}.,NA,2019-05-26
1670386,Yellowdesk,60480545,898906308,898897638,0,Abdel Fattah al-Burhan,2019-05-26T17:47:49Z,Removed {{current person}}.,NA,2019-05-26
1670386,Yellowdesk,1089321,898906156,897061747,0,Steve Hofmeyr,2019-05-26T17:46:28Z,Removed {{current person}}.,NA,2019-05-26
1670386,Yellowdesk,5109584,898905973,892783654,0,Solomon's Stables,2019-05-26T17:44:59Z,Removed {{current related}} -- Topic described within the same article.,NA,2019-05-26
1670386,Yellowdesk,60800584,898905803,898143969,0,2019 Ghana Music Awards,2019-05-26T17:43:36Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-05-26
1670386,Yellowdesk,60742954,898905629,897169261,0,Trimeresurus arunachalensis,2019-05-26T17:42:34Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-05-26
1670386,Yellowdesk,46676222,898905535,898755910,0,2019 United Kingdom general election,2019-05-26T17:41:48Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-05-26
1670386,Yellowdesk,4054805,898905023,897687410,0,Universidad de Oriente (Venezuela),2019-05-26T17:38:06Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-05-26
1670386,Yellowdesk,2143820,898904843,897456253,0,"San Miguel, Bulacan",2019-05-26T17:36:46Z,Removed {{current related}}. Event concluded.,NA,2019-05-26
1670386,Yellowdesk,2056734,898904590,898632247,0,Leader of the Conservative Party (UK),2019-05-26T17:35:03Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-05-26
1670386,Yellowdesk,165470,898904245,896495188,0,Kalimantan,2019-05-26T17:32:29Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-05-26
1670386,Yellowdesk,108055,898904164,896521033,0,"Poway, California",2019-05-26T17:31:52Z,Converted {{current related}} to {{seealso}}.,NA,2019-05-26
1670386,Yellowdesk,27421,898904023,898713159,0,Sudan,2019-05-26T17:30:49Z,/* Government and politics */ Removed {{current related}} for failing to indicate the related event.,NA,2019-05-26
1670386,Yellowdesk,60293293,890235827,889702692,0,Revoke Article 50 and remain in the EU petition,2019-03-31T01:46:30Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-03-31
1670386,Yellowdesk,57596266,890235802,890194610,0,Directive on Copyright in the Digital Single Market,2019-03-31T01:46:03Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-03-31
1670386,Yellowdesk,50921656,890235750,890228620,0,UK Parliament petitions website,2019-03-31T01:45:25Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-03-31
1670386,Yellowdesk,33867300,890235697,890223354,0,Wow Air,2019-03-31T01:44:53Z,Removed {{current related}} for failing to indicate the related event and topic.,NA,2019-03-31
1670386,Yellowdesk,50338260,882581766,882559929,0,21 Savage,2019-02-10T02:42:55Z,"Removed template ""current person"".",NA,2019-02-10
1670386,Yellowdesk,49112219,882581721,882235903,0,Michael Cohen (lawyer),2019-02-10T02:42:31Z,"Removed template ""current person"".",NA,2019-02-10
1670386,Yellowdesk,21234593,882581470,881739323,0,Alex Salmond,2019-02-10T02:40:21Z,"Removed template ""current person"".",NA,2019-02-10
1670386,Yellowdesk,32456,882581261,879861406,0,Politics of Venezuela,2019-02-10T02:38:14Z,"Removed template ""current related"" for failing to link to the related event.",NA,2019-02-10
1670386,Yellowdesk,78643,882581233,879860988,0,Government of Venezuela,2019-02-10T02:37:54Z,"Removed template ""current related"" for failing to link to the related event.",NA,2019-02-10
1670386,Yellowdesk,9428874,882581168,882122194,0,Democratic Party of Virginia,2019-02-10T02:37:14Z,"Removed template ""current related"" for failing to link to the related event.",NA,2019-02-10
1670386,Yellowdesk,59843510,882581055,881566568,0,2018–19 Segundona,2019-02-10T02:35:54Z,Removed superfluous and redundant {{current sport}}. The lede of the article fully explains the temporal nature of the topic and article.,NA,2019-02-10
1670386,Yellowdesk,59810921,882581009,882345929,0,2019 Leende Open,2019-02-10T02:35:30Z,Removed superfluous and redundant {{current sport}}. The lede of the article fully explains the temporal nature of the topic and article.,NA,2019-02-10
1670386,Yellowdesk,59766475,882580978,881949322,0,2018–19 Angola Cup,2019-02-10T02:35:12Z,Removed superfluous and redundant {{current sport}}. The lede of the article fully explains the temporal nature of the topic and article.,NA,2019-02-10
1670386,Yellowdesk,58552220,882580936,882512890,0,2018–19 Girabola,2019-02-10T02:34:44Z,Removed superfluous and redundant {{current sport}}. The lede of the article fully explains the temporal nature of the topic and article.,NA,2019-02-10
1670386,Yellowdesk,58886583,867644442,867598620,0,Blue Wave 2018,2018-11-07T02:18:44Z,Removed {{current related}}. Merely one editor in the most recent 24 hours.,NA,2018-11-07
1670386,Yellowdesk,54977297,855416163,853025597,0,Jamel Artis,2018-08-18T03:52:46Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,57923300,855416140,854312418,0,Elijah Stewart,2018-08-18T03:52:26Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,58062917,855416124,854311613,0,Johnny Hamilton (basketball),2018-08-18T03:52:14Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,57855956,855416105,854312537,0,Jordan McLaughlin,2018-08-18T03:51:55Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,57314300,855416087,854312590,0,Donte Ingram,2018-08-18T03:51:36Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,57009342,855416065,854658888,0,Drew Eubanks,2018-08-18T03:51:23Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,56923486,855416052,851220702,0,Braian Angola,2018-08-18T03:51:12Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,54224335,855416032,854591936,0,Zach Lofton,2018-08-18T03:50:59Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,53688527,855416024,854035323,0,PJ Dozier,2018-08-18T03:50:47Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,53336744,855415998,855383891,0,David Nwaba,2018-08-18T03:50:27Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,50932130,855415982,855015682,0,Danuel House Jr.,2018-08-18T03:50:14Z,"Removed {{current sports transaction}} for lack of citations. If the topic is in the  news there is a citation available, making this template superfluous. Cite the news item",NA,2018-08-18
1670386,Yellowdesk,14122304,855415911,855112497,0,Chris Collins (New York politician),2018-08-18T03:49:19Z,Removed {{current person}}. Zero Edits in two days.,NA,2018-08-18
